,page_number,x0,x1,y0,y1,top,width,height,text,upright
1254,1.0,437.889761,442.2376254,587.0748166000001,594.8947166,246.99528339999995,4.347864399999992,7.819899999999961,2,1.0
1255,1.0,448.91582,453.2636844,763.2649835000001,771.0848835,70.80511649999994,4.347864399999992,7.819899999999961,6,1.0
1256,1.0,453.2636844,455.4376166,763.2649835000001,771.0848835,70.80511649999994,2.1739322000000243,7.819899999999961,.,1.0
1257,1.0,455.4376166,459.785481,763.2649835000001,771.0848835,70.80511649999994,4.347864399999992,7.819899999999961,2,1.0
1258,1.0,459.785481,464.1333454,763.2649835000001,771.0848835,70.80511649999994,4.347864399999992,7.819899999999961,7,1.0
1259,1.0,448.91582,453.2636844,755.2574059000001,763.0773059,78.81269409999993,4.347864399999992,7.819899999999961,6,1.0
1260,1.0,453.2636844,455.4376166,755.2574059000001,763.0773059,78.81269409999993,2.1739322000000243,7.819899999999961,.,1.0
1261,1.0,455.4376166,459.785481,755.2574059000001,763.0773059,78.81269409999993,4.347864399999992,7.819899999999961,2,1.0
1262,1.0,459.785481,464.1333454,755.2574059000001,763.0773059,78.81269409999993,4.347864399999992,7.819899999999961,8,1.0
1263,1.0,448.91582,453.2636844,747.2498283000001,755.0697283000001,86.82027169999992,4.347864399999992,7.819899999999961,6,1.0
1264,1.0,453.2636844,455.4376166,747.2498283000001,755.0697283000001,86.82027169999992,2.1739322000000243,7.819899999999961,.,1.0
1265,1.0,455.4376166,459.785481,747.2498283000001,755.0697283000001,86.82027169999992,4.347864399999992,7.819899999999961,2,1.0
1266,1.0,459.785481,464.1333454,747.2498283000001,755.0697283000001,86.82027169999992,4.347864399999992,7.819899999999961,9,1.0
1267,1.0,448.91582,453.2636844,739.2422507000001,747.0621507000001,94.82784929999993,4.347864399999992,7.819899999999961,6,1.0
1268,1.0,453.2636844,455.4376166,739.2422507000001,747.0621507000001,94.82784929999993,2.1739322000000243,7.819899999999961,.,1.0
1269,1.0,455.4376166,459.785481,739.2422507000001,747.0621507000001,94.82784929999993,4.347864399999992,7.819899999999961,3,1.0
1270,1.0,459.785481,464.1333454,739.2422507000001,747.0621507000001,94.82784929999993,4.347864399999992,7.819899999999961,0,1.0
1271,1.0,448.91582,453.2636844,731.2346731000001,739.0545731000001,102.8354268999999,4.347864399999992,7.819899999999961,6,1.0
1272,1.0,453.2636844,455.4376166,731.2346731000001,739.0545731000001,102.8354268999999,2.1739322000000243,7.819899999999961,.,1.0
1273,1.0,455.4376166,459.785481,731.2346731000001,739.0545731000001,102.8354268999999,4.347864399999992,7.819899999999961,3,1.0
1274,1.0,459.785481,464.1333454,731.2346731000001,739.0545731000001,102.8354268999999,4.347864399999992,7.819899999999961,1,1.0
1275,1.0,448.91582,453.2636844,723.2270955000001,731.0469955000001,110.84300449999988,4.347864399999992,7.819899999999961,6,1.0
1276,1.0,453.2636844,455.4376166,723.2270955000001,731.0469955000001,110.84300449999988,2.1739322000000243,7.819899999999961,.,1.0
1277,1.0,455.4376166,459.785481,723.2270955000001,731.0469955000001,110.84300449999988,4.347864399999992,7.819899999999961,3,1.0
1278,1.0,459.785481,464.1333454,723.2270955000001,731.0469955000001,110.84300449999988,4.347864399999992,7.819899999999961,2,1.0
1279,1.0,448.91582,453.2636844,715.2195179000001,723.0394179000001,118.85058209999988,4.347864399999992,7.819899999999961,6,1.0
1280,1.0,453.2636844,455.4376166,715.2195179000001,723.0394179000001,118.85058209999988,2.1739322000000243,7.819899999999961,.,1.0
1281,1.0,455.4376166,459.785481,715.2195179000001,723.0394179000001,118.85058209999988,4.347864399999992,7.819899999999961,3,1.0
1282,1.0,459.785481,464.1333454,715.2195179000001,723.0394179000001,118.85058209999988,4.347864399999992,7.819899999999961,3,1.0
1283,1.0,448.91582,453.2636844,707.2119403000002,715.0318403000001,126.85815969999987,4.347864399999992,7.819899999999961,6,1.0
1284,1.0,453.2636844,455.4376166,707.2119403000002,715.0318403000001,126.85815969999987,2.1739322000000243,7.819899999999961,.,1.0
1285,1.0,455.4376166,459.785481,707.2119403000002,715.0318403000001,126.85815969999987,4.347864399999992,7.819899999999961,3,1.0
1286,1.0,459.785481,464.1333454,707.2119403000002,715.0318403000001,126.85815969999987,4.347864399999992,7.819899999999961,4,1.0
1287,1.0,448.91582,453.2636844,699.2043627000002,707.0242627000001,134.86573729999986,4.347864399999992,7.819899999999961,6,1.0
1288,1.0,453.2636844,455.4376166,699.2043627000002,707.0242627000001,134.86573729999986,2.1739322000000243,7.819899999999961,.,1.0
1289,1.0,455.4376166,459.785481,699.2043627000002,707.0242627000001,134.86573729999986,4.347864399999992,7.819899999999961,3,1.0
1290,1.0,459.785481,464.1333454,699.2043627000002,707.0242627000001,134.86573729999986,4.347864399999992,7.819899999999961,6,1.0
1291,1.0,448.91582,453.2636844,691.1967851000002,699.0166851000001,142.87331489999983,4.347864399999992,7.819899999999961,6,1.0
1292,1.0,453.2636844,455.4376166,691.1967851000002,699.0166851000001,142.87331489999983,2.1739322000000243,7.819899999999961,.,1.0
1293,1.0,455.4376166,459.785481,691.1967851000002,699.0166851000001,142.87331489999983,4.347864399999992,7.819899999999961,3,1.0
1294,1.0,459.785481,464.1333454,691.1967851000002,699.0166851000001,142.87331489999983,4.347864399999992,7.819899999999961,8,1.0
1295,1.0,448.91582,453.2636844,683.1892075000002,691.0091075000001,150.88089249999985,4.347864399999992,7.819899999999961,6,1.0
1296,1.0,453.2636844,455.4376166,683.1892075000002,691.0091075000001,150.88089249999985,2.1739322000000243,7.819899999999961,.,1.0
1297,1.0,455.4376166,459.785481,683.1892075000002,691.0091075000001,150.88089249999985,4.347864399999992,7.819899999999961,3,1.0
1298,1.0,459.785481,464.1333454,683.1892075000002,691.0091075000001,150.88089249999985,4.347864399999992,7.819899999999961,9,1.0
1299,1.0,448.91582,453.2636844,675.1816299000002,683.0015299000002,158.88847009999984,4.347864399999992,7.819899999999961,6,1.0
1300,1.0,453.2636844,455.4376166,675.1816299000002,683.0015299000002,158.88847009999984,2.1739322000000243,7.819899999999961,.,1.0
1301,1.0,455.4376166,459.785481,675.1816299000002,683.0015299000002,158.88847009999984,4.347864399999992,7.819899999999961,4,1.0
1302,1.0,459.785481,464.1333454,675.1816299000002,683.0015299000002,158.88847009999984,4.347864399999992,7.819899999999961,0,1.0
1303,1.0,448.91582,453.2636844,667.1740523000002,674.9939523000002,166.89604769999983,4.347864399999992,7.819899999999961,6,1.0
1304,1.0,453.2636844,455.4376166,667.1740523000002,674.9939523000002,166.89604769999983,2.1739322000000243,7.819899999999961,.,1.0
1305,1.0,455.4376166,459.785481,667.1740523000002,674.9939523000002,166.89604769999983,4.347864399999992,7.819899999999961,4,1.0
1306,1.0,459.785481,464.1333454,667.1740523000002,674.9939523000002,166.89604769999983,4.347864399999992,7.819899999999961,2,1.0
1307,1.0,448.91582,453.2636844,659.1664747000002,666.9863747000002,174.90362529999982,4.347864399999992,7.819899999999961,6,1.0
1308,1.0,453.2636844,455.4376166,659.1664747000002,666.9863747000002,174.90362529999982,2.1739322000000243,7.819899999999961,.,1.0
1309,1.0,455.4376166,459.785481,659.1664747000002,666.9863747000002,174.90362529999982,4.347864399999992,7.819899999999961,4,1.0
1310,1.0,459.785481,464.1333454,659.1664747000002,666.9863747000002,174.90362529999982,4.347864399999992,7.819899999999961,3,1.0
1311,1.0,448.91582,453.2636844,651.1588971000002,658.9787971000002,182.9112028999998,4.347864399999992,7.819899999999961,6,1.0
1312,1.0,453.2636844,455.4376166,651.1588971000002,658.9787971000002,182.9112028999998,2.1739322000000243,7.819899999999961,.,1.0
1313,1.0,455.4376166,459.785481,651.1588971000002,658.9787971000002,182.9112028999998,4.347864399999992,7.819899999999961,4,1.0
1314,1.0,459.785481,464.1333454,651.1588971000002,658.9787971000002,182.9112028999998,4.347864399999992,7.819899999999961,4,1.0
1315,1.0,448.91582,453.2636844,643.1513195000002,650.9712195000002,190.9187804999998,4.347864399999992,7.819899999999961,6,1.0
1316,1.0,453.2636844,455.4376166,643.1513195000002,650.9712195000002,190.9187804999998,2.1739322000000243,7.819899999999961,.,1.0
1317,1.0,455.4376166,459.785481,643.1513195000002,650.9712195000002,190.9187804999998,4.347864399999992,7.819899999999961,4,1.0
1318,1.0,459.785481,464.1333454,643.1513195000002,650.9712195000002,190.9187804999998,4.347864399999992,7.819899999999961,6,1.0
1319,1.0,448.91582,453.2636844,635.1437419000002,642.9636419000002,198.9263580999998,4.347864399999992,7.819899999999961,6,1.0
1320,1.0,453.2636844,455.4376166,635.1437419000002,642.9636419000002,198.9263580999998,2.1739322000000243,7.819899999999961,.,1.0
1321,1.0,455.4376166,459.785481,635.1437419000002,642.9636419000002,198.9263580999998,4.347864399999992,7.819899999999961,4,1.0
1322,1.0,459.785481,464.1333454,635.1437419000002,642.9636419000002,198.9263580999998,4.347864399999992,7.819899999999961,7,1.0
1323,1.0,448.91582,453.2636844,627.1361643000002,634.9560643000002,206.93393569999975,4.347864399999992,7.819899999999961,6,1.0
1324,1.0,453.2636844,455.4376166,627.1361643000002,634.9560643000002,206.93393569999975,2.1739322000000243,7.819899999999961,.,1.0
1325,1.0,455.4376166,459.785481,627.1361643000002,634.9560643000002,206.93393569999975,4.347864399999992,7.819899999999961,4,1.0
1326,1.0,459.785481,464.1333454,627.1361643000002,634.9560643000002,206.93393569999975,4.347864399999992,7.819899999999961,9,1.0
1327,1.0,448.91582,453.2636844,619.1285867000003,626.9484867000002,214.94151329999977,4.347864399999992,7.819899999999961,6,1.0
1328,1.0,453.2636844,455.4376166,619.1285867000003,626.9484867000002,214.94151329999977,2.1739322000000243,7.819899999999961,.,1.0
1329,1.0,455.4376166,459.785481,619.1285867000003,626.9484867000002,214.94151329999977,4.347864399999992,7.819899999999961,5,1.0
1330,1.0,459.785481,464.1333454,619.1285867000003,626.9484867000002,214.94151329999977,4.347864399999992,7.819899999999961,1,1.0
1331,1.0,448.91582,453.2636844,611.1210091000003,618.9409091000002,222.94909089999976,4.347864399999992,7.819899999999961,6,1.0
1332,1.0,453.2636844,455.4376166,611.1210091000003,618.9409091000002,222.94909089999976,2.1739322000000243,7.819899999999961,.,1.0
1333,1.0,455.4376166,459.785481,611.1210091000003,618.9409091000002,222.94909089999976,4.347864399999992,7.819899999999961,5,1.0
1334,1.0,459.785481,464.1333454,611.1210091000003,618.9409091000002,222.94909089999976,4.347864399999992,7.819899999999961,3,1.0
1335,1.0,448.91582,453.2636844,603.1134315000003,610.9333315000002,230.95666849999972,4.347864399999992,7.819899999999961,6,1.0
1336,1.0,453.2636844,455.4376166,603.1134315000003,610.9333315000002,230.95666849999972,2.1739322000000243,7.819899999999961,.,1.0
1337,1.0,455.4376166,459.785481,603.1134315000003,610.9333315000002,230.95666849999972,4.347864399999992,7.819899999999961,5,1.0
1338,1.0,459.785481,464.1333454,603.1134315000003,610.9333315000002,230.95666849999972,4.347864399999992,7.819899999999961,4,1.0
1339,1.0,448.91582,453.2636844,595.1058539000003,602.9257539000002,238.9642460999997,4.347864399999992,7.819899999999961,6,1.0
1340,1.0,453.2636844,455.4376166,595.1058539000003,602.9257539000002,238.9642460999997,2.1739322000000243,7.819899999999961,.,1.0
1341,1.0,455.4376166,459.785481,595.1058539000003,602.9257539000002,238.9642460999997,4.347864399999992,7.819899999999961,5,1.0
1342,1.0,459.785481,464.1333454,595.1058539000003,602.9257539000002,238.9642460999997,4.347864399999992,7.819899999999961,5,1.0
1343,1.0,448.91582,453.2636844,587.0982763000003,594.9181763000003,246.97182369999973,4.347864399999992,7.819899999999961,6,1.0
1344,1.0,453.2636844,455.4376166,587.0982763000003,594.9181763000003,246.97182369999973,2.1739322000000243,7.819899999999961,.,1.0
1345,1.0,455.4376166,459.785481,587.0982763000003,594.9181763000003,246.97182369999973,4.347864399999992,7.819899999999961,5,1.0
1346,1.0,459.785481,464.1333454,587.0982763000003,594.9181763000003,246.97182369999973,4.347864399999992,7.819899999999961,7,1.0
1347,1.0,470.8215,475.1693644,635.1202822,642.9401822,198.9498178,4.347864399999992,7.819899999999961,6,1.0
1348,1.0,475.1693644,477.3432966,635.1202822,642.9401822,198.9498178,2.1739322000000243,7.819899999999961,.,1.0
1349,1.0,477.3432966,481.691161,635.1202822,642.9401822,198.9498178,4.347864399999992,7.819899999999961,4,1.0
1350,1.0,481.691161,486.0390254,635.1202822,642.9401822,198.9498178,4.347864399999992,7.819899999999961,9,1.0
1351,1.0,470.8215,475.1693644,627.1127046,634.9326046,206.9573954,4.347864399999992,7.819899999999961,6,1.0
1352,1.0,475.1693644,477.3432966,627.1127046,634.9326046,206.9573954,2.1739322000000243,7.819899999999961,.,1.0
1353,1.0,477.3432966,481.691161,627.1127046,634.9326046,206.9573954,4.347864399999992,7.819899999999961,5,1.0
1354,1.0,481.691161,486.0390254,627.1127046,634.9326046,206.9573954,4.347864399999992,7.819899999999961,1,1.0
1355,1.0,470.8215,475.1693644,619.105127,626.925027,214.964973,4.347864399999992,7.819899999999961,6,1.0
1356,1.0,475.1693644,477.3432966,619.105127,626.925027,214.964973,2.1739322000000243,7.819899999999961,.,1.0
1357,1.0,477.3432966,481.691161,619.105127,626.925027,214.964973,4.347864399999992,7.819899999999961,5,1.0
1358,1.0,481.691161,486.0390254,619.105127,626.925027,214.964973,4.347864399999992,7.819899999999961,3,1.0
